LOYALTY,Satis,VALUE,Reputa,Pricey,ATRUST,CTRUST,age,sex,educ,Loca,caseid
6.625,10,10,5.25,10,10,8,5,1,3,1,326
4,8,7,4.5,5,9,5,3,1,2,1,329
4.375,8,8.33333333333333,6.25,5.33333333333333,9.5,9.5,3,1,3,1,335
4.875,6.66666666666667,6,5,6,8.25,8.25,4,1,4,1,338
4.375,7,5.5,4,7,8.25,8,3,1,2,1,339
6.875,10,9.5,6,10,9.25,9.5,4,1,2,1,352
1.5,4.66666666666667,3,4,5,3.5,5,1,1,2,1,353
4,6,7,4.5,4,7,7,3,1,2,1,354
5.625,10,8.5,4.75,6.33333333333333,9,9,4,1,2,1,356
6.875,10,10,7,10,10,10,5,1,2,1,358
6.5,8.66666666666667,9,4,7.33333333333333,9,9,4,2,3,1,1
6.125,9,8,3.75,7,9,9,4,2,2,1,4
1.875,6,5,3,6,6,5,5,2,1,1,6
5.625,8,7.5,5,8,8,9,2,2,2,1,7
7,10,8.5,7,8,10,8.5,2,2,3,1,12
6.16666666666667,8.33333333333333,4.5,6.25,6,9,9,3,2,4,1,14
6.25,9,8,7,5.33333333333333,9,10,2,2,3,1,15
3.66666666666667,8,7,4.5,6,8.5,7.5,2,2,4,1,21
4.20833333333333,7.33333333333333,7.66666666666667,4,6.66666666666667,8,7,3,2,2,1,23
5.41666666666667,7,5.33333333333333,4.5,6.33333333333333,6.25,6,5,2,2,1,28
6.375,10,9.5,6.25,7.33333333333333,9.25,10,4,2,4,1,31
4.875,6.66666666666667,6.83333333333333,4.25,6,6.25,6.5,1,2,3,1,32
5.33333333333333,2,5.5,4,5.33333333333333,4.25,6,1,2,1,1,33
4.375,10,7.66666666666667,4,8,10,10,3,2,4,1,34
6.375,6.33333333333333,7,4.75,6,9.5,9,4,2,3,1,38
5.45833333333333,8,8,4.25,6.66666666666667,9,8.5,3,2,2,1,42
6.875,8,8,4,7,8.25,8,4,2,3,1,45
5.375,10,10,1,10,10,10,5,2,2,1,46
5.125,10,7,4.75,8,10,6.25,5,2,1,1,47
6.875,10,10,7,10,10,10,4,2,2,1,50
5,8,7,4,6,9,7,3,2,2,1,54
5.75,10,10,4.75,1,10,10,4,2,1,1,56
5.04166666666667,7.66666666666667,6.83333333333333,4,6.33333333333333,8.25,6,3,2,3,1,58
7,10,10,7,7.66666666666667,10,10,2,2,3,1,60
6,10,7,6,8,9.5,9.5,2,2,2,1,72
6.125,8.5,5.5,5.33333333333333,6.33333333333333,9,6.75,4,2,3,1,74
7,9,9.5,6.66666666666667,10,10,9,3,2,4,1,76
7,10,10,6.5,10,10,10,4,2,1,1,77
6.25,10,10,5.25,7,10,10,3,2,3,1,81
5.75,10,9.5,6.5,10,10,10,4,2,1,1,83
4.04166666666667,10,7.5,3.5,7,10,5,2,2,1,1,86
4.33333333333333,5,5.5,4,6,5,6.5,3,2,2,1,90
6.5,9,9.33333333333333,5.5,9,9.25,9,2,2,1,1,92
2.16666666666667,8,4.5,3.75,4.66666666666667,4.5,3.5,3,2,3,1,94
1.625,9,8.16666666666667,5,9,8.5,8.5,3,2,4,1,101
6.5,10,9.5,4.5,10,10,9,4,2,1,1,102
5.25,9,9,5.33333333333333,8,9,9,5,2,3,1,103
3.16666666666667,8,5.5,3.75,7,7,5.5,3,2,3,1,105
5.75,10,9.5,4.75,10,9.25,9.5,3,2,3,1,106
6.08333333333333,7.66666666666667,6.66666666666667,6.25,6.33333333333333,7.75,6.25,3,2,2,1,108
4.875,10,10,6.75,8,10,10,5,2,4,1,116
6.25,9,10,7,9,10,10,2,2,3,1,118
5.75,9,8.33333333333333,4,8,9,9,3,2,2,1,119
